artist_id,artist_name
5781,薛之谦
2116,陈奕迅
3684,林俊杰
3685,林宥嘉
4292,李荣浩
861777,华晨宇
12236125,王以太
826336,马雨阳
1197168,徐秉龙
12138269,毛不易
1203045,艾热
5771,许嵩
5346,王力宏
6460,张学友
13906123,张紫豪
6731,赵雷
12079219,李佳隆
12002248,沈以诚
28083340,王北车
188141,满舒克
1142042,徐梦圆
6457,张国荣
13609637,马良
3066,胡彦斌
5538,汪苏泷
6472,张杰
6479,周柏豪
6066,杨宗纬
12493781,Lil Ghost小鬼
784257,Jony J
4721,朴树
6453,张震岳
3681,李志
6452,周杰伦
12079044,陈硕子
1058228,陈鸿宇
5073,宋冬野
2843,郭顶
4479,MC Hotdog
5770,许巍
13145283,ICE
12356407,白小白
12514278,那吾克热LIL-EM
12050057,G.G(张思源)
981141,伦桑
6462,张敬轩
3699,李克勤
12420149,李袁杰
1204010,Tizzy T
2112,陈小春
12054456,董又霖
13058503,尤长靖
1132127,萧忆情Alex
5768,萧敬腾
5196,陶喆
12270575,孟凡明
4723,潘玮柏
12782871,$唐老师
13527275,Wya乌鸦
13056440,陈立农
12146142,大壮
166014,金志文
12440042,邓伦
14857181,情词尧
6454,张信哲
12287118,Ayo97
5001,简弘亦
12932368,蔡徐坤
12453329,功夫胖KungFuPen
5205,谭咏麟
1198010,暗杠
1038040,赵紫骅
13056454,灵超
6469,张宇
2738,方大同
980025,周兴哲
6068,杨坤
12120150,朱星杰
6652,周传雄
13057513,朱正廷
12448205,永彬Ryan.B
12118230,钱正昊
12084229,焦迈奇
12760978,广东雨神
3691,刘德华
3249,河图
13057511,郑锐彬
3695,李健
1115075,西瓜JUN
6456,周华健
12138252,张雪飞
4726,Pianoboy高至豪
13058502,王子异
964108,吴亦凡
13059447,林超泽
4171,刘昊霖
12333145,DP龙猪
790044,小峰峰
13056442,范丞丞
1079074,余佳运
12085017,BLOWFEVER
14118614,苏天伦
12083175,排骨教主
12079066,Lil.Jet
12027624,栗先达
12276430,Cubi
13152025,杨多
12286700,虎二
1159045,齐一
12205361,刘莱斯
12429072,隔壁老樊
28868804,寅子
12094099,徐真真
12085016,接个吻，开一枪
12287780,前男友
13112541,Gibb-Z
12606272,吕大叶
12798217,刘思鉴
12127564,艾福杰尼
12798308,马子林Broma
12360230,Lil-7
12052056,Fi9江澈
12094419,羽肿
12085569,李蚊香
12083570,YKEY
12641765,江辰
12050022,裂天
12059094,JAEFOREAL
12489984,掌嘴
12127154,吴海啸
977173,3Bangz
13296197,二狗村高富帅
12185042,特曼
12319383,胖胖胖
1158100,留声玩具
12114094,马英伦
12002184,AR（刘夫阳）
1140028,承利
12570017,MOMINJAN_ABLIKIM穆明江
12194650,KT
12119569,李迦南Doc
12146126,拖鞋pd
1151001,未来星B3Rich
12520754,DJ-荣大大
12126098,Vk
12158033,张佳伦
1185054,尚先生
12174110,崔开潮
12094558,Buzzy
15064461,方宇杰
1209003,LuckyMaxx
12050049,AirJordy
1142011,王极
13866086,苏亦枫
12259217,allenvee
12367021,AlimjanHasan
12199576,小青龙
1198071,HOPE-T
12282733,黑崎子
28304970,万能青年
12271965,Sand
12174057,艾辰
27862910,者思范Remix
12205140,青柠
12476238,英镑
12027336,Jiaye
1143074,小鱼儿YT
1087200,AThree-Arslan
1876,阿杜
187295,Assen捷
12132566,安苏羽
1881,阿木
1878,DJ-Varc
12441083,傲日其愣
860734,艾索
1106124,阿杰729
802016,安来宁
1081752,AlimjanTursun
1879,安琥
10998,爱乐团王超
1875,阿信
1132013,A路人
784443,阿来
1908,阿不都拉
964311,阿良良木健
2422,阿鲲
1877,阿牛
1058073,阿力木江·托合提
14469086,阿金和玄子
1047066,阿摩司
1045019,阿尔达克
1885,阿炳
1873,阿宝
1945,安东阳
1081117,Azoy
1102011,阿尔法
1122109,Allfine
804159,阿力普
947019,艾宝良
1049340,akbar ahmat ziba
1886,艾斯卡尔
1919,AP满人
727015,AL=六甲官锭
1980,安神
1050612,积木立方
1872,阿沁
1155078,安乐阳
12870537,Alex Hong
1039594,AKA道长
1921,安旭
762462,阿见
1047377,艾尼瓦尔江
1888,阿穆隆
12039231,艾山江·木合塔尔
1084038,Akbar Kahriman
1893,阿里
1053043,Archaic幻梦
1054175,AiPi 
1054144,Annco.Liu
1132165,任莫醒r
1961,阿译
1905,阿吉仔
1080022,Fumos
893266,A3
1049049,allan.X
229593,艾克拜尔·吐尔地
13222299,安浩辰
832010,曹翟
12054096,阿力木
862110,敖日格乐
1087768,士辉
12046022,Arivval
1912,阿清
1902,阿振
1060224,Kadirya
1054114,a$ce
1910,阿德
1904,阿爆
1906,阿龙正罡
1925,奥杰阿格
12108783,阿尔曼
1161024,AC周予天
1039871,AHJOL''RAHEM HALIP
1882,阿强
1039587,aka南瓜
1043417,阿权
12142151,Along
854301,安平
1081930,AseLOrDa
1060008,朱志冉冉
1039416,Anchoe
2022,阿左
12263332,阿宽
1926,阿拉腾傲刀
1054102,YoungDrake
1021394,阿四龙
1124167,安浩
1040062,Akber
1075100,ABSDJHONG
1047280,YK-D
12203229,阿影
1896,阿沐
13582195,安迪
28387245,安筱冷 
805076,ANNER
13058488,卜凡
13058487,毕雯珺
839689,SAM努尔夏提
12091076,白宇
12493701,布瑞吉Bridge
12288707,半阳的粉丝而已
1084207,白亮
13059430,贝汯璘
1054040,冰块先生
1181417,拜合提亚尔塔依尔
909029,白举纲
1085053,变奏的梦想
1048054,Braska
1050807,白宁
12259146,Black.Key
12523451,BrAnTB
1047238,白挺
2026,布仁巴雅尔
2098,暴林
1131033,拜合提亚bahtiyar aziz
2063,白玛多吉
14100563,白菜
12041068,白敬亭
2056,拜尔
2103,血男孩
2104,Beatsound
27693730,白一阳
1047057,BEC包子
12647412,巴图
12131640,冰山来客
1053147,笨笨口琴
2033,包朝克
2087,波拉
2034,鲍比达
12457194,边江
816079,薄彩生
12090249,孛儿只斤·包迪
2055,白天不亮
1081918,Ballrockin
12279094,鲍鹏
2059,毕书尽
2049,卞留念
2048,百慕三石
1038371,BlurryCloud
12108685,BLOW
1044102,Viper毒蛇
1078363,巴顿
1047011,白客
868113,BigKey
2060,白羽
1057198,B.C.W.懒领阶级
14100790,北疯
2101,Barry
1038088,贝歌
2032,贝玛千贝仁波切
13706227,表哥
1078050,BHTY-R
1060060,斑辣个马
1060124,周迪
1150216,巴图
12263538,白凯南
12344330,BackToBand
2027,卜学亮
969082,背背
1032373,边远
1132200,包胡尔查
2025,B6
11992127,包贝尔
13568181,鲍越
12263329,白泽
12817024,白静晨
2061,包伍
1094177,包威尔
12107259,白勺
1057274,包青山
13699123,bAddrop
2065,布川
1132662,鲍昕宇Aspada
12493121,YoungBoyDan
1038354,边边
1040104,Blindman
12872011,彬雨木
12141067,巴音
27692361,北木森
1032406,波比
1049372,白浩
29148292,巴巴烙
14714187,薄云天
2073,鲍元恺
2050,白音孟和
12355027,白应鑫
1047265,波仔
228408,Bloody Woods
2071,白龙
1106064,半梦
1087669,BK532
1008035,BillySmith
12131566,CLOUD WANG
2127,陈柏宇
12634049,丛铭君
2201,陈势安
2115,陈百强
2117,侧田
2110,曹格
2124,陈楚生
12132471,陈信喆
2118,成龙
2121,蔡旻佑
2122,陈冠希
1044054,R7CKY
2150,陈冠蒲
963409,陈学冬
1084178,Candy_Wind
2111,崔健
964450,陈奕夫
2159,曹轩宾
2230,陈雅森
2331,陈翔
2294,陈光荣
2153,常石磊
6557,曾一鸣
2125,陈晓东
12010027,陈柏霖
963431,陈致逸
12095299,陈柯宇
31055,Cee
2130,蔡国权
1043290,传琦SAMA
2147,陈旭
168021,陈俊彤
2135,陈勋奇
1041027,Chace
2113,车继铃
1046063,蔡方萌
